DATE: Tue Nov 15 15:06:18 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: REVERSE_SERVER; MESSAGE: anna
DATE: Tue Nov 15 15:10:30 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: I hate you antonio3, I quit.
DATE: Tue Nov 15 15:10:36 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: CONN
DATE: Tue Nov 15 15:10:39 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: Me too.
DATE: Tue Nov 15 15:10:42 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: CONN
DATE: Tue Nov 15 15:10:52 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: BROADCAST_SERVER; MESSAGE: :(
DATE: Tue Nov 15 15:17:15 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: ECHO_SERVER; MESSAGE: Hello?
DATE: Tue Nov 15 15:17:17 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: ECHO_SERVER; MESSAGE: ??
DATE: Tue Nov 15 15:17:22 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: ECHO_SERVER; MESSAGE: Stop it!
DATE: Tue Nov 15 15:17:38 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: ECHO_SERVER; MESSAGE: Give me the number of active connections, now!
DATE: Tue Nov 15 15:17:40 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: ECHO_SERVER; MESSAGE: CONN
DATE: Tue Nov 15 15:18:03 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: ECHO_SERVER; MESSAGE: Well. I can quit.
DATE: Tue Nov 15 15:18:10 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: ECHO_SERVER; MESSAGE: LOG
DATE: Tue Nov 15 15:18:31 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: ECHO_SERVER; MESSAGE: Ahah every time I read this I have a lot of fun!
DATE: Tue Nov 15 23:20:10 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: ECHO_SERVER; MESSAGE: ciao
DATE: Tue Nov 15 23:20:11 CET 2016; FROM: /0:0:0:0:0:0:0:1; TO: ECHO_SERVER; MESSAGE: CONN
DATE: Mon Apr 01 18:57:17 CEST 2024; FROM: /127.0.0.1; TO: ECHO_SERVER; MESSAGE: ahahah
DATE: Mon Apr 01 18:57:29 CEST 2024; FROM: /127.0.0.1; TO: REVERSE_SERVER; MESSAGE: pippo
DATE: Mon Apr 01 18:58:01 CEST 2024; FROM: /127.0.0.1; TO: BROADCAST_SERVER; MESSAGE: ciao!
DATE: Mon Apr 01 18:58:06 CEST 2024; FROM: /127.0.0.1; TO: BROADCAST_SERVER; MESSAGE: come stai?
DATE: Mon Apr 01 18:58:18 CEST 2024; FROM: /127.0.0.1; TO: BROADCAST_SERVER; MESSAGE: bene, graazie!
